值;zhi2;value
極線;ji2xian4;polar
完全四邊形;wan2quan2si4bian1xing2;complete quadrilateral
射影變換;she4ying3bian4huan4;projective transformation
圓錐曲線;yuan2zhui1qu1xian4;conic section
無窮遠點;wu2qiong2yuan3dian3;point at infinity
向量;xiang4liang4;vector
數論;shu4lun4;Number Theory
整數;zheng3shu4;integer
正數;zheng4shu4;positive number
負數;fu4shu4;negative number
自然數;zi4ran2shu4;natural number
非負;fei1fu4;nonnegative
偶數;ou3shu4;even number
奇數;ji1shu4;odd number
分數;fen1shu4;fraction
分子;fen1zi3;numerator
分母;fen1mu3;denominator
有理數;you3li3shu4;rational number
無理數;wu2li3shu4;irrational number
質數;zhi2shu4;prime number
素数;su4shu4;prime number
倍數;bei4shu4;multiple
因數;yin1shu4;divisor/factor
整除;zheng3chu2;divides
互質;hu4zhi4;relatively prime
合數;he2shu4;composite number
平方數;ping2fang1shu4;perfect square
立方數;li4fang1shu4;perfect cube
次方;ci4fang1;power
模;mo2;mod
原根;yuan2gen1;primitive root
剩餘;sheng4yu2;remainder
二次剩餘;er4ci4sheng4yu2;quadratic residue
階乘;jie1cheng2;factorial
微積分;wei2ji1fen1;calculus
極限;ji2xian4;limit
微分;wei2fen1;derivative
積分;ji1fen1;integral
範疇論;fan4chou2lun4;category theory
範疇;fan4chou2;category
核;he2;kernel
預層;yu4ceng2;presheaf
函子;han2zi3;functor
自然變換;zi4ran2bian4huan4;natural transformation
類;lei4;class
物件;wu4jian4;objects
態射;tai4she4;morphism
箭號;jian4hao4;arrows
二元運算;er4yuan2yun4suan4;binary operation
結合律;jie2he2lv4;associative law
複合;fu4he2;composition
解析;jie3xi1;analysis, analytic
捲餅;juan3bing3;burrito
鴿子;ge1zi5;pidgeon
河;he2;river
睡蓮科;shui4lian2ke1;lilypad
藥丸;yao4wan2;pill
體重;ti3zhong4;weight
冰塊;bing1kuai4;ice cube
青蛙;qing1wa1;frog
罐;guan4;jar
石頭;shi2tou2;rock
桶;tong3;bucket
蟾蜍;chan2chu2;toad
朋友;peng2you3;friend
楊輝三角;yang1hui4san1jiao3;Pascal triangle
忒修斯;te4xui1si1;Theseus
網球;wang3qiu2;tennis
循環賽;xun2huan2sai4;round-robin tournament
