N,Source,YouTube
65,USAMO 2021/2,https://youtu.be/9WNgDETHOlI?t=1325
65,USAMO 2021/3,https://youtu.be/9WNgDETHOlI?t=2325
65,USAMO 2021/4,https://youtu.be/9WNgDETHOlI?t=1008
65,USAMO 2021/5,https://youtu.be/9WNgDETHOlI?t=1700
65,USAMO 2021/6,https://youtu.be/9WNgDETHOlI?t=2930
65,Rectangle projection,https://youtu.be/pX8MtGmwFZo
65,Canada 2021/4,https://youtu.be/cnCr4S2tUO4
66,CAMO 2021/3,https://youtu.be/yRlq-S0P3OE
66,Putnam 1979 B6,https://youtu.be/F1-jL2dSQJc
67,Twitch 067.1,https://youtu.be/9tL7vedNX_M
67,ToT Spring 1999 S-A1,https://youtu.be/jacgQ_r-ROE
67,Vietnam 2014 Training,https://youtu.be/FxemXWXw92s
67,Italy TST 2006/5,https://youtu.be/YBS-zrNl1O4
68,Germany 2017/5,https://youtu.be/hJ_r74sfBaE
68,USAMO 1996/1,https://youtu.be/7YQwWvVdLSg
68,Shortlist 1998 N1,https://youtu.be/iswj_GVcbo8
68,Shortlist 2012 N1,https://youtu.be/yvQEumKoBXI
69,Bulgaria 2018/3,https://youtu.be/xEy1PKfyDaM
70,Cono Sur TST,https://youtu.be/wVQkRadMpK8
70,Shortlist 2012 N3,https://youtu.be/zVmGnDNw6LE
70,Junior Balkan 2013/3,https://youtu.be/DQ0-cuYJ-mQ
71,JBMO SL 2008 A2,https://youtu.be/dlrSmf05n-w
71,Martin Gardner,https://youtu.be/8Bv34HhINOI
71,JBMO SL 2018 C3,https://youtu.be/wsWMkO4PTp8
71,KoMaL N166,https://youtu.be/9jfELCmq8Y0
72,Twitch 072.1,https://youtu.be/7Qjr5CwzQDU
72,Sweden 2018,https://youtu.be/drrHDLWR6bw
72,ToT Fall 2011 S-A7,https://youtu.be/DgsH-Nn2fOo
73,Russia 2010/10.8,https://youtu.be/uDVCCdQLt6s
74,ToT Fall 2005 S-A3,https://youtu.be/vH67pRJdM8g
74,USAMO 1997/3,https://youtu.be/rGoMTlJwq-I
74,Brazil 2020/5,https://youtu.be/2ku744eaxYA
75,ELMO 2010/3,https://youtu.be/rGoMTlJwq-I
76,Shortlist 2014 A3,https://youtu.be/UQ21yEicM6o
76,ZhiHu 2021,https://youtu.be/uO-ONtWg6G8
77,Shortlist 2007 N1,https://youtu.be/MjxGLjTWZdM
77,Shortlist 1999 C6,https://youtu.be/iznvJAYuUqo
77,Shortlist 2013 C4,https://youtu.be/wWVB29XWuU0
77,USAMO 1996/2,https://youtu.be/CkPmHY8MIYg
78,IMO 2021/4,https://youtu.be/MeXMi9NG2Rc
79,IMO 2021/5,https://youtu.be/U52PMz8nJjI
80,Shortlist 2020 G7,https://youtu.be/0kODbd66TdE
81,USAMO 1996/2,https://youtu.be/CkPmHY8MIYg
81,USAMO 1996/3,https://youtu.be/30XpnQ__wzs
81,Centroamerican 2021/3,https://youtu.be/H0HNe0I1WQI
81,Korea 2021/2,https://youtu.be/R7LQQU8NN9I
81,KoMaL A775,https://youtu.be/w8yZzdVOPdA
83,Shortlist 2020 N5,https://youtu.be/3Bl5SRkbyJg
84,USAMO 1996/5,https://youtu.be/HYHsVSqveMI
85,MR U552,https://youtu.be/i1atXI9YdxE
86,ToT Spring 2010 S-A7,https://youtu.be/2hMOwc5Zqrs
86,China 2018/3,https://youtu.be/sCZMl8JGDh0
87,Ireland 1994/10,https://youtu.be/lt32pF046lU
87,Iberoamerican 2021/2,https://youtu.be/vdvTg5tLx4I
87,Iberoamerican 2021/4,https://youtu.be/KDnDe6KaqL0
87,Iberoamerican 2021/5,https://youtu.be/4bE3JbYn120
87,Iberoamerican 2021/1,https://youtu.be/Wx4-fscAMB8
87,Iberoamerican 2021/3,https://youtu.be/uePJQlZHhNs
88,IMO 1999/5,https://youtu.be/V-9UBJr7aDI
89,USEMO 2021/1,https://youtu.be/kjcY8qQAi5U
89,USEMO 2021/2,https://youtu.be/kjcY8qQAi5U
89,USEMO 2021/3,https://youtu.be/kjcY8qQAi5U
90,USEMO 2021/4,https://youtu.be/PhNIee2CzdY
90,USEMO 2021/5,https://youtu.be/PhNIee2CzdY
90,USEMO 2021/6,https://youtu.be/PhNIee2CzdY
91,MR J560,https://youtu.be/xrAkxr6mB9w
91,IMO 1999/6,https://youtu.be/rlMW65i_VtI
92,Twitch 092.3,https://youtu.be/9sK8ISzHCvQ
94,IMO 1998/3,https://youtu.be/mKfgxyfdn2w
95,Sylver coinage,
97,gcd det,https://youtu.be/SnEj4CljU18
97,ToT Fall 2012 J-A7,https://youtu.be/K759pczb7-A
98,IMO 1999/1,https://youtu.be/QIkoSVCHrR8
99,IMO 1997/6,
99,IMO 1997/4,https://youtu.be/qMGDgxJqzIU
99,Schweitzer 2020/1,https://youtu.be/i1d3h_Rs9Iw
100,Poland 2019/1/12,https://youtu.be/8edyF716Mr8
101,IMO 1997/2,https://youtu.be/HytKqrMVGpc
102,IMO 1998/4,https://youtu.be/Gv7-k9dXa6s
103,USEMO 2022/4,https://youtu.be/dC9VpiGVRqs
103,USEMO 2022/5,https://youtu.be/dC9VpiGVRqs
103,USEMO 2022/6,https://youtu.be/dC9VpiGVRqs
104,Iberoamerican 2022/5,https://youtu.be/dhCir0TYqIg
106,Twitch 106.1,https://youtu.be/9iE3J43Sozk
106,Kosovo TST 2019/1,https://youtu.be/1HWZAbOob44
106,Brazil 2022/2,https://youtu.be/w0Hvkqf0aQ8
106,Twitch 106.4,https://youtu.be/_HtErqKU_zQ
106,ToT Spring 2004 S-A5,https://youtu.be/tAXEpNhZG_Q
107,Brazil 2022/6,https://youtu.be/oxrY6brGYfg
107,DEMO Mock 2022/1,https://youtu.be/XUAVeDk2GsY
107,Australia 2020/8,https://youtu.be/Qqk8cbL2fP8
108,PAGMO 2022/1,https://youtu.be/C9WhZldyMuc?t=185s
108,Math Prize 2022/2,https://youtu.be/C9WhZldyMuc?t=2259s
108,Putnam 2022 B4,https://youtu.be/C9WhZldyMuc?t=3699s
108,Brazil 2022/6,https://youtu.be/C9WhZldyMuc?t=4963s
109,Iberoamerican 2019/5,https://youtu.be/5Q7Qg3Oti-g
109,All-Lincoln 2022/6,https://youtu.be/GEa2nOS1PBM
109,Iberoamerican 2019/2,https://youtu.be/_91OtUwJMjQ
110,CodeForces 1698F,https://youtu.be/h3CEfCfK924
110,China 2023/5,https://youtu.be/UsbnjfTOljs
110,Clock,https://youtu.be/16UNuZTrNTc
111,ELMO Revenge 2022/2,https://youtu.be/V58ZweJKKGA
111,USAMTS 4/3/34,https://youtu.be/V58ZweJKKGA
111,USAMTS 4/2/34,https://youtu.be/uUJ9BlrjJHg
111,!AtCoder ARC 139E,https://youtu.be/duYrKINEE1Y
112,INMO 2023/6,https://youtu.be/kR3Tzw5JIUU
112,ELMO Revenge 2022/1,https://youtu.be/QVD4kFNyCHQ
112,INMO 2023/2,https://youtu.be/9WdIHzvXF64
113,AMC 8 2023/17,https://youtu.be/nnXx2tSVi4U
113,Twitch 113.2,https://youtu.be/mUDShxX8XNk
113,GaussMO 2022/3,https://youtu.be/RsTDs5YNlIM
113,CodeForces 1667C,https://youtu.be/UEspJ8Xkmpo
113,Florida 2023,https://youtu.be/O2-1qI9SEHg
114,IntBee 2023/S7,https://youtu.be/Skl06cOBbV8
114,!Kattis Stamp Stamp,https://youtu.be/g7x8SYY9rv8
115,!CodeForces 4A,https://youtu.be/i0hXoYTq8Fw
115,!CodeForces 1339A,https://youtu.be/i0hXoYTq8Fw
115,!CodeForces 1770C,https://youtu.be/i0hXoYTq8Fw
116,IMO 1997/1,https://youtu.be/zOToam5MzlM
116,IMO 1997/3,https://youtu.be/zY4Uxk7i2Gg
116,!CodeForces 1703A,
117,IMO 1987/5,https://youtu.be/MQizW3_nrZE
117,!AtCoder ABC 286F,https://youtu.be/NFlt3yTkkwg
118,Twitch 118.1,https://youtu.be/W5EgJeHEIec
119,NACLO 2020/O,https://youtu.be/miS1glgwDUs
119,Twitch 119.2,https://youtu.be/wwZUgX_R3iQ
119,bissue 2022/13,https://youtu.be/8ij1wFg-SjU
120,bissue 2022/15,https://youtu.be/PBSOcmLosrw
120,Longlist 1967/SWE-5,https://youtu.be/VKuQfVxX-KI
120,236 Open 2016/J8,https://youtu.be/alIMoFzVuOc
120,Simson Segments,https://youtu.be/9A2Jc6O7MTI
121,BAMO 2019/3,https://youtu.be/4VQxYmE2tEQ
121,RMM 2008/4,https://youtu.be/79W3dNyiYWw
121,Longlist 1974/2,https://youtu.be/QS7jBXIVf8s
122,China 2005/2,https://youtu.be/kFaKtqOXGk0
122,Marcin E Kuczma,https://youtu.be/2mn3De0yc8A
122,Ukraine 2023/9.4,https://youtu.be/y8k9qrrG-Qc
122,!CodeForces 1628C,https://youtu.be/lzOuxpi9924
122,!CodeForces 630A,https://youtu.be/Y2GYmRFYatk
122,!CodeForces 1673F,https://youtu.be/czE1CFWK0BE
122,!CodeForces 688B,https://youtu.be/UfCBF7TEMiA?t=14140s
123,EGMO 2023/6,https://youtu.be/ZmG11r8tQNI
123,EGMO 2023/3,https://youtu.be/PcPjYpkwY_g
123,!CodeForces 1292E,https://youtu.be/rekLsOS7ZL0
123,Twitch 123.4,https://youtu.be/Qvq4pTg-C8o
123,China 2021/6,https://youtu.be/orvTuytr6uk
124,EGMO 2023/2,https://youtu.be/Gf_gS-scjoo
124,Longlist 1985/19,https://youtu.be/V_tTeGYaVAk
124,Twitch 124.3,https://youtu.be/f4F7tDglpzA
124,CEMC Euclid 2023/10C,https://youtu.be/soMY1qyNiNI
124,Florida 2023B,https://youtu.be/NUyidWDwNls
124,Iberoamerican 2022/2,https://youtu.be/doMHBeuDnxQ
125,Iran TST 2021/2/4,https://youtu.be/3D5R2FHB0MVz0
125,Twitch 125.2,https://youtu.be/3DdyaBnRYPN30
125,!CodeForces 1817D,https://youtu.be/3DIoCkcMBJxIM
125,Twitch 125.4,https://youtu.be/3Dd8R3u_8H6BM
125,Twitch 125.5,https://youtu.be/3D2kETEbaI3rM
129,IMO 2023/1,https://youtu.be/Z7G7bSGfrqU
129,IMO 2023/2,https://youtu.be/Alz2OWHH7QY
129,Twitch 129.3,https://youtu.be/hA8yUGtN0ks
129,IMO 2023/4,https://youtu.be/vDG6i7LmiFU
130,IMC 2023/2,https://youtu.be/JKne3A1Pu8o
130,IMO 2023/3,https://youtu.be/yGZUjUYTbzc
130,ELMO SL 2023 G1,https://youtu.be/wMdc6hUhhaA
130,IOL 2015/1,https://youtu.be/OtNvLm57wv4
131,OMMC 2023/9,https://youtu.be/tGv-hnYaK0s
131,Malaysia SST 2023/7,https://youtu.be/oNISgD_vjkM
131,Cross Ops,https://youtu.be/gjQyGxUu4YY
132,Russia 2010/11.3,https://youtu.be/luK5T-k08Ic
132,Rioplatense 2019/L2/3,https://youtu.be/3X6YcQybomM
132,IMO 1973/5,https://youtu.be/mqkpYly4eg8
132,ELMO SL 2023 G7,https://youtu.be/S3z2LSt7zzY
133,AMC 12A 2023/22,https://youtu.be/aqhUZkRuI4k
133,H3167860,https://youtu.be/E3bzg5HKpCY
133,H3195318,https://youtu.be/5A5Yu65JV_U
133,!CodeForces 1567C,https://youtu.be/tG9LsSkFjYo
133,!CodeForces 1823E,https://youtu.be/tQVDFWh9sig
133,!CodeForces 1575K,https://youtu.be/yxTOsUDauxc
133,Twitch 133.6,https://youtu.be/xitwCD-EOu0
134,Brazil 2019/J5,https://youtu.be/hU0Zv1-UTH8
135,H3167668,https://youtu.be/3tbbD4GaaHs
136,USAMTS 3/2/35,https://youtu.be/eFTzgaOUNXw
136,H3170234,https://youtu.be/nyKKvc87dg8
136,!CodeForces 1188B,https://youtu.be/51aiCEs4R8k
136,HMNT 2023 Gen10,https://youtu.be/xR7rzNMpQlw
137,!CodeForces 1375F,https://youtu.be/wDWymYWjHRQ
137,Twitch 137.2,https://youtu.be/1VW8EToKfWs
137,Twitch 137.3,https://youtu.be/zDQbD1BOFCw
137,CAMO 2022/3,https://youtu.be/MLRLaRGDr0c
138,EMCC 2023 T-14,https://youtu.be/FjKluBxpqRk
138,H3226403,https://youtu.be/YTRMS2MG8P0
138,Mexico Q3,https://youtu.be/c5NGYpfv8OQ
138,XOOK 2023/3,https://youtu.be/lNoAOiFX1ys
139,H3087478,https://youtu.be/NCPmljDOITk
139,China TST Quiz 2007/1/3,https://youtu.be/rmhfgp47avs
140,H3278100,https://youtu.be/sJsAqXuGj-A
141,USAMO 2024/5,https://youtu.be/7M-b5zXXpaY
141,JMO 2024/1,https://youtu.be/N3WG9AY9HYY
141,JMO 2024/2,https://youtu.be/eZe8tDDSx70
142,JMO 2024/4,https://youtu.be/s_bUukq7HiA
142,JMO 2024/5,https://youtu.be/yLhlJHJDxvQ
142,Brazil 2021/3,https://youtu.be/7wmIb_Byghc
143,Asian-Pacific Ling 2021,https://youtu.be/IukIR5TSNiE
143,USAMO 2024/4,https://youtu.be/ZLOghPRDgoU
144,H2716390,https://youtu.be/G_cRUZ1TEmU
144,!AtCoder AGC051B,https://youtu.be/RqQfhO_m64U
144,XOOK 2023/2,https://youtu.be/cuUQkgZ4xVc
145,Twitch 145.1,https://youtu.be/tc9C60_2-KM
145,!AtCoder AGC066B,https://youtu.be/eZjArkxoMWQ
145,!CodeForces 1270I,https://youtu.be/9aWj6LHt280
145,Taiwan MO 2024/4,https://youtu.be/eiHul2kJINE
145,Frog jump,https://youtu.be/W2chl6FnsPg
146,EGMO 2024/1,https://youtu.be/wb-9khsmdpA
146,EGMO 2024/2,https://youtu.be/Q1CLri5l28I
146,EGMO 2024/3,https://youtu.be/EJS9br0gyqE
146,EGMO 2024/4,https://youtu.be/AawAbKQsCVM
146,EGMO 2024/5,https://youtu.be/Yh0r9zHgXYA
147,EGMO 2014/4,https://youtu.be/Ce0D5Uzxnew
147,EGMO 2012/3,https://youtu.be/Pu1ZIi6Ff20
148,EGMO 2012/8,https://youtu.be/3Bgka1mOzq0
148,EGMO 2012/6,https://youtu.be/-W-6ipWlyEA
149,EGMO 2022/1,https://youtu.be/tjxbdw41fzc
150,IOL 2014,https://youtu.be/bQvkbMIphtY
150,Philippines 2024/1,https://youtu.be/pm4lAI17Hxc
150,Twitch 150.3,https://youtu.be/-S-jnY4-a34
151,ELMO 2024/4,https://youtu.be/J4QtlbYxBDU
151,Canada 2024/5,https://youtu.be/bu_C5NzK1T4
153,ELMO 2012/6,https://youtu.be/SuSplOVnq00
153,Minesweeper,https://youtu.be/8IdBxpyq5D0
154,Mexico 2024/3,https://youtu.be/yzNmJ8mBhg8
155,Philippines 2024/III/7,https://youtu.be/SZKnEAclM3o
156,HMMT 2025 T7,https://youtu.be/Guwjcgnkq7c
156,H3507300,https://youtu.be/v_Ng9xsa26g
156,XOOK 2025/1,https://youtu.be/LS4DsHGIp2o
157,XOOK 2025/2,https://youtu.be/kPRQ11q--gY
158,Twitch 158.2,https://youtu.be/LfIOXTYSFGA
158,JMO 2025/4,https://youtu.be/EoTMC4f70QY
158,JMO 2025/6,https://youtu.be/Gu8opSiI0pw
158,USAMO 2025/6,https://youtu.be/pbhPoQfVsjw
159,OMF 2025/4,https://youtu.be/PilRVBNcWxY
159,arXiv 1906.10482,https://youtu.be/d4STJiEsQXE
160,IOL 2014,https://youtu.be/pAy7m-NMfqs
160,Korea Winter 2019/3,https://youtu.be/uvcgiSAyjzc
161,EGMO 2025/3,https://youtu.be/yiRQt-OhbtA
162,EGMO 2025/5,https://youtu.be/GbAvWnsCSZk
162,Twitch 161.2,https://youtu.be/bUi8M1DWseQ
162,HMIC 2025/5,https://youtu.be/W5rdrCAtBO8
162,HMIC 2025/3,https://youtu.be/vhC62b_GHgs
163,IOL 2014/2,https://youtu.be/QMPukpBkMAo
163,EGMO 2025/1,https://youtu.be/2g3avY_TJAU
163,EGMO 2025/2,https://youtu.be/qm5tzRWuQpI
163,EGMO 2025/4,https://youtu.be/Nu_RjYVYHPw
